,Unnamed: 0,Name,Salary,Team,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGPER,TPM,TPA,TPPER,FTM,FTA,FTPER,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PLUSMINUS,Position,Country,Draft Round,WR
0,0,Stephen Curry,34682550,GSW,30,51,41,10,32.0,26.4,8.4,16.9,49.5,4.2,9.8,42.3,5.5,5.9,92.1,0.7,4.4,5.1,6.1,3.0,1.6,0.2,2.2,9.5,G,USA,1,0.803921568627451
1,1,LeBron James,33285709,CLE,33,76,46,30,37.1,27.6,10.6,19.4,54.7,1.8,4.9,36.1,4.6,6.3,73.0,1.2,7.4,8.6,9.1,4.2,1.5,0.9,1.7,0.6,F,USA,1,0.6052631578947368
2,2,Paul Millsap,31269231,DEN,33,32,17,15,29.3,14.8,5.4,11.2,48.2,1.1,2.9,36.6,2.9,4.2,70.7,1.4,4.8,6.3,2.8,1.9,1.2,1.1,2.6,2.3,F,USA,2,0.53125
3,3,Gordon Hayward,29727900,BOS,28,1,0,1,5.3,2.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,F,USA,1,0.0
4,4,Blake Griffin,29512900,DET,29,58,28,30,33.8,21.3,7.5,17.0,43.8,1.9,5.5,34.8,4.4,5.6,78.6,1.3,6.1,7.3,5.7,2.8,0.7,0.3,2.4,1.1,F,USA,1,0.4827586206896552
5,5,Kyle Lowry,28703704,TOR,32,71,53,18,32.3,16.6,5.2,12.1,43.3,3.1,7.6,40.9,3.0,3.5,85.9,0.9,4.7,5.6,6.8,2.3,1.1,0.2,2.5,5.0,G,USA,1,0.7464788732394366
6,6,Russell Westbrook,28530608,OKC,29,75,43,32,36.3,25.4,9.5,21.1,45.0,1.2,4.1,29.5,5.2,7.1,73.3,1.8,7.9,9.7,10.1,4.7,1.8,0.3,2.5,4.5,G,USA,1,0.5733333333333334
7,7,Mike Conley,28530608,MEM,30,12,7,5,31.1,17.1,5.3,14.0,38.1,2.0,6.4,31.2,4.4,5.5,80.3,0.0,2.3,2.3,4.1,1.5,1.0,0.3,2.0,-1.4,G,USA,1,0.5833333333333334
8,8,James Harden,28299399,HOU,28,67,56,11,35.5,30.7,9.1,20.4,44.7,3.7,10.3,36.4,8.7,10.2,85.9,0.6,4.9,5.4,8.8,4.3,1.8,0.7,2.4,7.8,G,USA,1,0.835820895522388
9,9,DeMar DeRozan,27739975,TOR,28,74,54,20,34.1,23.3,8.1,17.8,45.8,1.1,3.6,31.5,5.9,7.1,82.4,0.7,3.1,3.9,5.2,2.2,1.1,0.2,1.8,5.5,G,USA,1,0.7297297297297297
10,10,Al Horford,27734405,BOS,31,67,46,21,31.6,12.8,5.1,10.4,49.1,1.4,3.2,43.5,1.1,1.5,75.0,1.4,6.0,7.4,4.9,1.9,0.6,1.1,1.9,5.0,F,Dominican Rep...,1,0.6865671641791045
11,11,Carmelo Anthony,26243760,OKC,33,73,42,31,32.2,16.3,6.1,15.1,40.6,2.2,6.0,36.3,1.9,2.4,76.4,0.8,5.0,5.8,1.3,1.3,0.6,0.6,2.5,3.5,F,USA,1,0.5753424657534246
12,12,Damian Lillard,26153057,POR,27,68,42,26,36.6,26.6,8.5,19.3,43.9,3.1,8.5,36.4,6.6,7.2,91.6,0.8,3.7,4.5,6.6,2.9,1.0,0.4,1.6,4.8,G,USA,1,0.6176470588235294
13,13,Jrue Holiday,25686667,NOP,27,75,42,33,36.3,19.1,7.6,15.6,49.1,1.5,4.5,33.5,2.3,3.0,78.4,0.8,3.8,4.5,5.8,2.6,1.4,0.8,2.5,3.1,G,USA,1,0.56
14,14,Kevin Durant,25000000,GSW,29,61,45,16,34.4,26.3,9.3,17.9,51.9,2.6,6.0,42.9,5.1,5.8,88.7,0.5,6.2,6.7,5.4,3.1,0.7,1.9,2.0,5.6,F,USA,1,0.7377049180327869
15,15,Otto Porter Jr.,24773250,WAS,24,71,40,31,31.8,14.6,5.7,11.6,49.6,1.7,4.0,43.3,1.4,1.7,82.9,1.3,5.1,6.4,2.1,1.0,1.6,0.5,2.0,4.2,F,USA,1,0.5633802816901409
16,16,Chris Paul,24599495,HOU,32,54,47,7,31.9,18.6,6.3,13.7,45.7,2.5,6.4,38.3,3.7,4.0,91.7,0.7,4.9,5.6,8.0,2.3,1.7,0.3,2.4,8.9,G,USA,1,0.8703703703703703
17,17,CJ McCollum,23962573,POR,26,75,46,29,36.1,21.7,8.3,18.5,45.0,2.4,5.9,40.9,2.6,3.1,83.7,0.6,3.3,3.9,3.2,1.8,0.9,0.4,2.1,1.8,G,USA,1,0.6133333333333333
18,18,Bradley Beal,23775506,WAS,24,75,41,34,36.3,22.8,8.4,18.2,46.1,2.4,6.5,37.2,3.6,4.5,78.8,0.8,3.6,4.4,4.6,2.7,1.2,0.5,1.9,2.6,G,USA,1,0.5466666666666666
19,19,Anthony Davis,23775506,NOP,25,69,40,29,36.4,28.1,10.4,19.5,53.6,0.8,2.2,33.8,6.5,7.7,83.5,2.5,8.6,11.1,2.3,2.1,1.5,2.5,2.1,2.8,F,USA,1,0.5797101449275363
20,20,Andre Drummond,23775506,DET,24,73,34,39,33.4,15.0,5.9,11.3,52.6,0.0,0.1,0.0,3.1,5.0,61.2,5.1,10.9,16.0,3.1,2.6,1.5,1.7,3.2,-0.7,C,USA,1,0.4657534246575342
21,21,Hassan Whiteside,23775506,MIA,28,48,27,21,25.7,14.1,5.8,10.6,54.7,0.0,0.0,100.0,2.5,3.5,69.4,3.2,8.5,11.7,1.0,1.8,0.8,1.7,2.4,-1.6,C,USA,2,0.5625
22,22,Dwight Howard,23500000,CHA,32,75,33,42,30.6,16.7,6.3,11.3,55.5,0.0,0.1,14.3,4.1,7.2,57.5,3.2,9.2,12.3,1.3,2.6,0.6,1.6,3.2,1.2,C,USA,1,0.44
23,23,Chandler Parsons,23112004,MEM,29,36,12,24,19.2,7.9,3.0,6.5,46.2,1.4,3.4,42.1,0.5,0.8,63.0,0.4,2.1,2.5,1.9,1.0,0.5,0.3,1.5,-2.4,F,USA,2,0.3333333333333333
24,24,Harrison Barnes,23112004,DAL,25,73,23,50,34.1,18.8,6.9,15.6,44.6,1.5,4.2,36.0,3.4,4.1,82.8,1.0,5.2,6.2,2.0,1.5,0.7,0.2,1.3,-4.5,F,USA,1,0.3150684931506849
25,25,JJ Redick,23000000,PHI,33,64,39,25,30.3,16.6,5.5,12.3,45.2,2.7,6.5,40.9,2.8,3.1,90.5,0.1,2.4,2.6,3.0,1.5,0.5,0.1,1.8,4.6,G,USA,1,0.609375
26,26,Marc Gasol,22642350,MEM,33,70,20,50,33.3,17.6,6.0,14.4,42.0,1.5,4.4,33.8,4.0,4.8,83.3,1.1,7.2,8.2,4.2,2.7,0.7,1.4,2.5,-3.8,C,Spain,2,0.2857142857142857
27,27,Kevin Love,22642350,CLE,29,54,33,21,27.6,17.5,5.7,12.4,45.8,2.2,5.5,40.0,4.0,4.5,88.5,1.8,7.4,9.2,1.7,1.5,0.7,0.4,2.1,0.4,C,USA,1,0.6111111111111112
28,28,Brook Lopez,22642350,LAL,29,67,32,35,23.6,13.3,5.1,10.9,47.0,1.5,4.4,34.7,1.5,2.2,68.3,1.0,2.9,4.0,1.8,1.4,0.4,1.4,2.7,-0.6,C,USA,1,0.47761194029850745
29,29,DeAndre Jordan,22642350,LAC,29,71,38,33,31.9,12.3,4.9,7.6,64.8,0.0,0.0,0.0,2.5,4.1,60.2,4.3,11.1,15.4,1.5,1.8,0.5,1.0,2.7,-0.5,C,USA,2,0.5352112676056338
30,30,Steven Adams,22471910,OKC,24,71,39,32,32.7,14.0,5.9,9.5,62.8,0.0,0.0,0.0,2.1,3.7,56.3,5.1,4.0,9.1,1.1,1.6,1.3,1.1,2.9,4.2,C,New Zealand,1,0.5492957746478874
31,31,Giannis Antetokounmpo,22471910,MIL,23,71,38,33,37.0,27.3,10.0,18.8,53.5,0.6,1.8,32.1,6.6,8.8,75.9,2.1,7.9,10.0,4.8,2.9,1.5,1.5,3.1,2.6,F,Greece,1,0.5352112676056338
32,32,Nicolas Batum,22434783,CHA,29,58,25,33,31.7,11.8,4.3,10.4,41.6,1.5,4.4,33.9,1.7,2.0,82.1,0.9,4.0,4.8,5.5,2.0,1.1,0.4,1.2,0.3,G,France,1,0.43103448275862066
33,33,Rudy Gobert,21974719,UTA,25,50,32,18,32.7,13.9,5.0,8.0,62.4,0.0,0.0,0.0,3.8,5.5,69.7,3.0,7.8,10.8,1.3,1.8,0.8,2.3,2.8,5.0,C,France,1,0.64
34,34,LaMarcus Aldridge,21461010,SAS,32,69,42,27,33.3,23.1,9.1,17.9,50.8,0.4,1.3,31.0,4.6,5.5,83.3,3.3,5.1,8.3,2.1,1.5,0.5,1.2,2.2,3.7,F,USA,1,0.6086956521739131
35,35,Victor Oladipo,21000000,IND,25,70,45,25,34.2,23.2,8.5,18.1,47.1,2.1,5.9,36.4,4.1,5.0,81.0,0.6,4.6,5.3,4.1,2.9,2.3,0.7,2.3,4.6,G,USA,1,0.6428571428571429
36,36,Enes Kanter,20566802,NYK,25,71,27,44,25.8,14.1,5.9,10.0,59.2,0.0,0.0,0.0,2.2,2.6,84.8,3.8,7.1,11.0,1.5,1.7,0.5,0.5,2.6,-2.6,C,Turkey,1,0.38028169014084506
